Ensembl,Symbol,Healthy_1,Healthy_2,Healthy_3,Healthy_4
ENSG00000089250,NOS1,13,24,1,3
ENSG00000171435,KSR2,1,3,0,1
ENSG00000111445,RFC5,28,25,71,32
ENSG00000176871,WSB2,81,68,206,110
ENSG00000176834,VSIG10,44,52,71,83
ENSG00000089220,PEBP1,7931,7532,4548,8245
ENSG00000135090,TAOK3,175,154,143,144
ENSG00000111707,SUDS3,149,131,55,88
ENSG00000139767,SRRM4,8,9,1,1
ENSG00000152137,HSPB8,0,0,23,9
ENSG00000183273,CCDC60,3,0,0,0
ENSG00000224982,TMEM233,2,6,2,2
ENSG00000111725,PRKAB1,34,39,55,16
ENSG00000122966,CIT,0,4,38,4
ENSG00000135127,BICDL1,10,14,0,3
ENSG00000111737,RAB35,2,2,32,28
ENSG00000089154,GCN1,93,79,117,117
ENSG00000089157,RPLP0,1394,1308,5335,2841
ENSG00000089159,PXN,241,236,107,118
ENSG00000089163,SIRT4,3,3,0,24
ENSG00000170890,PLA2G1B,0,0,0,0
ENSG00000135097,MSI1,0,0,0,0
ENSG00000111775,COX6A1,336,332,1600,1012
ENSG00000111780,AL021546.1,92,93,559,284
ENSG00000170855,TRIAP1,77,87,241,99
ENSG00000257218,GATC,118,97,474,230
ENSG00000111786,SRSF9,140,138,515,193
ENSG00000088986,DYNLL1,538,535,1041,488
ENSG00000110871,COQ5,110,108,209,173
ENSG00000022840,RNF10,64,85,101,206
ENSG00000167272,POP5,18,13,181,72
ENSG00000157782,CABP1,0,2,0,0
ENSG00000110917,MLEC,377,333,880,872
ENSG00000175970,UNC119B,7,11,68,7
ENSG00000122971,ACADS,991,872,386,882
ENSG00000157837,SPPL3,108,109,43,124
ENSG00000135100,HNF1A,73,61,21,79
ENSG00000157895,C12orf43,97,92,43,115
ENSG00000135114,OASL,13,16,19,19
ENSG00000089041,P2RX7,47,46,3,7
ENSG00000135124,P2RX4,110,100,121,69
ENSG00000110931,CAMKK2,202,197,93,114
ENSG00000089053,ANAPC5,167,167,114,175
ENSG00000170633,RNF34,0,2,49,28
ENSG00000089094,KDM2B,71,60,57,27
ENSG00000276045,ORAI1,16,17,98,68
ENSG00000139714,MORN3,65,51,6,9
ENSG00000188735,TMEM120B,72,99,11,28
ENSG00000139725,RHOF,46,67,5,10
ENSG00000139718,SETD1B,25,23,69,56
ENSG00000158104,HPD,875,863,585,1199
ENSG00000110801,PSMD9,177,145,329,120
ENSG00000256950,AC069503.2,29,16,282,77
ENSG00000158023,WDR66,122,117,29,54
ENSG00000110987,BCL7A,32,43,26,15
ENSG00000175727,MLXIP,201,199,190,143
ENSG00000158113,LRRC43,2,0,0,0
ENSG00000176383,B3GNT4,85,54,162,83
ENSG00000184047,DIABLO,155,139,264,120
ENSG00000256861,AC048338.1,106,83,274,113
ENSG00000139719,VPS33A,87,67,76,30
ENSG00000130779,CLIP1,1018,1051,308,379
ENSG00000033030,ZCCHC8,209,185,95,78
ENSG00000111011,RSRC2,94,86,148,73
ENSG00000184445,KNTC1,23,27,84,30
ENSG00000182782,HCAR2,0,0,1,0
ENSG00000255398,HCAR3,0,0,0,0
ENSG00000196917,HCAR1,50,34,5,2
ENSG00000139726,DENR,80,74,170,84
ENSG00000130783,CCDC62,18,12,0,4
ENSG00000130787,HIP1R,11,8,38,70
ENSG00000139722,VPS37B,22,34,1,21
ENSG00000150967,ABCB9,233,215,171,91
ENSG00000111325,OGFOD2,171,173,90,67
ENSG00000182196,ARL6IP4,352,305,483,394
ENSG00000090975,PITPNM2,18,20,15,67
ENSG00000051825,MPHOSPH9,69,64,16,31
ENSG00000130921,C12orf65,173,170,77,88
ENSG00000111328,CDK2AP1,10,1,82,138
ENSG00000139697,SBNO1,151,126,135,109
ENSG00000183955,KMT5A,6,12,75,11
ENSG00000150977,RILPL2,67,60,79,32
ENSG00000184209,SNRNP35,70,71,48,51
ENSG00000188026,RILPL1,50,58,19,30
ENSG00000086598,TMED2,359,317,1756,488
ENSG00000111364,DDX55,32,38,55,25
ENSG00000111361,EIF2B1,81,81,84,56
ENSG00000111358,GTF2H3,34,31,50,49
ENSG00000168778,TCTN2,29,26,2,4
ENSG00000185344,ATP6V0A2,109,72,52,59
ENSG00000197653,DNAH10,3,6,3,7
ENSG00000119242,CCDC92,39,52,65,60
ENSG00000250091,DNAH10OS,2,5,1,4
ENSG00000179195,ZNF664,111,122,70,130
ENSG00000178882,RFLNA,20,30,7,17
ENSG00000274874,AC068790.8,23,31,8,18
ENSG00000196498,NCOR2,219,212,79,78
ENSG00000073060,SCARB1,1073,1037,1077,1420
ENSG00000150991,UBC,3629,3414,2484,1692
ENSG00000150990,DHX37,70,58,38,18
ENSG00000184992,BRI3BP,146,114,52,72
ENSG00000081760,AACS,112,95,8,36
ENSG00000139364,TMEM132B,12,18,2,1
ENSG00000139370,SLC15A4,46,52,71,77
ENSG00000151948,GLT1D1,13,19,33,60
ENSG00000111432,FZD10,0,0,0,0
ENSG00000125207,PIWIL1,90,93,3,10
ENSG00000111450,STX2,53,51,70,61
ENSG00000132341,RAN,176,178,858,226
ENSG00000111452,ADGRD1,42,32,22,37
ENSG00000061936,SFSWAP,311,294,25,72
ENSG00000198598,MMP17,0,0,0,0
ENSG00000177169,ULK1,166,156,125,65
ENSG00000177192,PUS1,78,76,79,20
ENSG00000183495,EP400,75,79,73,52
ENSG00000185684,EP400NL,78,61,72,30
ENSG00000185163,DDX51,59,52,7,56
ENSG00000184967,NOC4L,10,8,143,29
ENSG00000182870,GALNT9,12,12,0,3
ENSG00000112787,FBRSL1,50,61,14,34
ENSG00000204583,LRCOL1,34,24,12,3
ENSG00000177084,POLE,73,84,9,29
ENSG00000176894,PXMP2,401,398,282,243
ENSG00000256632,AC135586.2,254,250,164,143
ENSG00000247077,PGAM5,40,38,134,91
ENSG00000176915,ANKLE2,273,245,170,67
ENSG00000090615,GOLGA3,115,86,30,55
ENSG00000072609,CHFR,94,75,62,45
ENSG00000196458,ZNF605,89,92,24,30
ENSG00000198393,ZNF26,253,226,103,67
ENSG00000198040,ZNF84,26,20,88,23
ENSG00000196387,ZNF140,22,20,5,31
ENSG00000214029,ZNF891,192,172,25,55
ENSG00000256223,ZNF10,6,5,18,14
ENSG00000256825,AC026786.1,24,37,1,0
ENSG00000090612,ZNF268,113,130,82,76
ENSG00000198033,TUBA3C,3,4,0,0
ENSG00000132958,TPTE2,0,0,0,1
ENSG00000196199,MPHOSPH8,397,342,171,192
ENSG00000121390,PSPC1,29,20,110,44
ENSG00000132950,ZMYM5,97,97,25,55
ENSG00000121741,ZMYM2,121,102,154,113
ENSG00000121743,GJA3,0,0,0,0
ENSG00000165474,GJB2,4,2,262,155
ENSG00000121742,GJB6,0,0,0,0
ENSG00000165475,CRYL1,642,637,578,449
ENSG00000032742,IFT88,134,153,69,82
ENSG00000172458,IL17D,0,0,0,0
ENSG00000150456,EEF1AKMT1,0,0,15,53
ENSG00000132953,XPO4,17,11,49,14
ENSG00000150457,LATS2,3,6,82,66
ENSG00000150459,SAP18,307,301,812,353
ENSG00000165480,SKA3,0,0,1,0
ENSG00000173141,MRPL57,110,96,473,233
ENSG00000180776,ZDHHC20,45,38,73,73
ENSG00000165487,MICU2,88,70,159,58
ENSG00000102678,FGF9,1,2,1,0
ENSG00000102683,SGCG,0,0,0,0
ENSG00000151835,SACS,0,1,18,13
ENSG00000127863,TNFRSF19,6,4,0,1
ENSG00000027001,MIPEP,3,9,47,15
ENSG00000205863,C1QTNF9B,5,4,0,2
ENSG00000273167,AL359736.1,117,125,13,10
ENSG00000182957,SPATA13,412,383,97,114
ENSG00000240654,C1QTNF9,8,5,0,1
ENSG00000281899,AL359736.3,2,0,0,1
ENSG00000102699,PARP4,65,59,104,84
ENSG00000075673,ATP12A,0,0,0,0
ENSG00000132972,RNF17,0,0,0,0
ENSG00000151849,CENPJ,36,45,25,6
ENSG00000151846,PABPC3,19,31,82,18
ENSG00000165566,AMER2,15,14,2,5
ENSG00000139505,MTMR6,128,115,128,39
ENSG00000139496,NUP58,99,73,106,40
ENSG00000132932,ATP8A2,0,1,0,0
ENSG00000180730,SHISA2,8,74,1,2
ENSG00000127870,RNF6,8,11,161,62
ENSG00000132964,CDK8,71,56,0,10
ENSG00000132970,WASF3,4,4,17,12
ENSG00000132975,GPR12,12,7,3,2
ENSG00000152484,USP12,74,61,21,66
ENSG00000122026,RPL21,1256,1245,4182,2046
ENSG00000122035,RASL11A,0,2,0,1
ENSG00000122034,GTF3A,262,234,967,404
ENSG00000122033,MTIF3,248,218,250,163
ENSG00000139517,LNX2,46,58,75,72
ENSG00000186184,POLR1D,233,210,317,118
ENSG00000139515,PDX1,0,0,0,1
ENSG00000180389,ATP5EP2,35,38,64,68
ENSG00000165556,CDX2,0,0,0,0
ENSG00000122025,FLT3,0,0,0,0
ENSG00000152520,PAN3,15,91,79,9
ENSG00000102755,FLT1,219,215,216,130
ENSG00000132963,POMP,300,265,901,447
ENSG00000139508,SLC46A3,96,85,223,238
ENSG00000132938,MTUS2,4,4,26,5
ENSG00000139514,SLC7A1,0,0,8,16
ENSG00000122042,UBL3,131,129,240,136
