Ensembl,Healthy_1,Healthy_2,Healthy_3,Healthy_4
ENSG00000066185,43,44,0,48
ENSG00000127125,167,119,248,192
ENSG00000186409,258,247,10,44
ENSG00000171960,3,1,30,23
ENSG00000065978,413,388,832,586
ENSG00000164007,3,7,0,0
ENSG00000117385,92,90,140,81
ENSG00000164008,65,66,45,47
ENSG00000177868,24,26,51,57
ENSG00000164010,29,20,49,25
ENSG00000164011,9,12,31,60
ENSG00000117394,1,1,67,3
ENSG00000186973,0,0,0,0
ENSG00000117395,415,459,224,227
ENSG00000243710,166,166,39,57
ENSG00000179178,0,3,0,0
ENSG00000253313,11,9,7,6
ENSG00000066056,63,71,168,31
ENSG00000117400,2,2,0,0
ENSG00000117399,0,0,5,9
ENSG00000066322,48,46,335,129
ENSG00000159479,137,113,107,80
ENSG00000198198,317,319,77,177
ENSG00000178922,217,224,32,107
ENSG00000142949,749,668,1135,1083
ENSG00000066135,96,102,49,27
ENSG00000126091,7,7,5,33
ENSG00000117407,0,0,0,0
ENSG00000117408,18,27,17,42
ENSG00000132768,10,4,35,13
ENSG00000117410,400,348,853,560
ENSG00000117411,5,2,31,30
ENSG00000159214,16,17,4,23
ENSG00000196517,1,0,121,18
ENSG00000171872,0,3,0,2
ENSG00000178028,46,56,116,41
ENSG00000117419,92,86,38,36
ENSG00000187147,253,222,307,185
ENSG00000126106,96,86,361,205
ENSG00000198520,43,48,3,4
ENSG00000142945,0,0,7,20
ENSG00000142937,725,698,2596,1134
ENSG00000142959,8,10,0,0
ENSG00000173846,22,24,4,8
ENSG00000188396,0,1,0,3
ENSG00000222009,25,29,9,18
ENSG00000117425,2,0,0,2
ENSG00000070785,218,183,223,55
ENSG00000126107,104,91,134,178
ENSG00000126088,249,220,333,328
ENSG00000162415,0,0,54,9
ENSG00000186603,0,0,4,0
ENSG00000132781,15,15,0,11
ENSG00000132773,14,9,83,17
ENSG00000070759,32,27,27,11
ENSG00000280670,15,13,22,12
ENSG00000132763,1162,1093,1535,1654
ENSG00000117450,1766,1675,3197,2812
ENSG00000117448,373,330,416,870
ENSG00000132780,239,410,309,139
ENSG00000159588,5,2,0,0
ENSG00000159592,181,165,219,169
ENSG00000159596,3,7,82,57
ENSG00000197429,52,44,97,43
ENSG00000086015,117,83,10,32
ENSG00000117461,30,27,19,26
ENSG00000278139,0,0,13,1
ENSG00000117472,1,6,52,2
ENSG00000085998,103,84,91,66
ENSG00000171357,36,43,0,1
ENSG00000085999,6,7,24,9
ENSG00000132128,36,51,164,73
ENSG00000173660,104,110,817,403
ENSG00000117481,39,55,100,99
ENSG00000117480,271,267,155,215
ENSG00000197587,11,6,0,2
ENSG00000079277,185,129,92,80
ENSG00000142961,1,0,32,20
ENSG00000123472,226,196,77,140
ENSG00000186118,1,0,0,0
ENSG00000159658,263,258,262,171
ENSG00000142973,6,10,0,1
ENSG00000187048,3521,3182,347,1124
ENSG00000186377,30,31,0,11
ENSG00000186160,0,0,0,1
ENSG00000162365,1496,1408,163,582
ENSG00000162366,33,38,2,4
ENSG00000162367,0,0,1,9
ENSG00000123473,21,22,2,10
ENSG00000162368,376,353,1209,417
ENSG00000186564,12,5,0,1
ENSG00000269113,15,12,8,11
ENSG00000117834,27,15,62,36
ENSG00000132122,3,10,2,5
ENSG00000186094,6,5,2,0
ENSG00000162373,0,0,0,0
ENSG00000162374,0,0,0,0
ENSG00000185104,69,50,44,72
ENSG00000123080,0,0,51,4
ENSG00000123091,104,98,267,171
ENSG00000085831,9,6,53,31
ENSG00000085832,191,200,128,140
ENSG00000117859,252,250,479,322
ENSG00000078618,168,175,540,362
ENSG00000169213,65,65,235,17
ENSG00000117862,45,30,341,88
ENSG00000198841,0,0,7,4
ENSG00000134717,234,221,307,96
ENSG00000157077,158,138,3,11
ENSG00000154222,107,99,16,28
ENSG00000085840,10,14,1,3
ENSG00000134748,32,48,104,45
ENSG00000134744,222,178,228,134
ENSG00000116157,7,5,26,20
ENSG00000182183,11,5,2,2
ENSG00000162377,65,74,18,18
ENSG00000162378,539,502,279,188
ENSG00000203995,38,28,32,16
ENSG00000121310,1732,1568,508,1094
ENSG00000116171,1137,1042,1508,1673
ENSG00000174348,4,2,129,25
ENSG00000162383,12,9,0,0
ENSG00000157184,317,345,227,197
ENSG00000162384,62,74,279,145
ENSG00000162385,19,11,74,65
ENSG00000157193,11,14,1,1
ENSG00000143006,0,0,0,0
ENSG00000174332,0,0,0,0
ENSG00000058804,129,126,39,53
ENSG00000058799,129,135,156,176
ENSG00000211452,73,61,572,645
