Ensembl,Symbol,Disease_1,Disease_2,Disease_3
ENSG00000143801,PSEN2,66,58,53
ENSG00000163050,COQ8A,290,251,85
ENSG00000143776,CDC42BPA,282,229,171
ENSG00000181450,ZNF678,14,7,28
ENSG00000143740,SNAP47,438,367,337
ENSG00000081692,JMJD4,444,390,380
ENSG00000185888,PRSS38,0,0,0
ENSG00000143816,WNT9A,0,1,1
ENSG00000154342,WNT3A,0,0,0
ENSG00000143761,ARF1,1006,771,722
ENSG00000143793,C1orf35,37,38,45
ENSG00000162910,MRPL55,582,479,386
ENSG00000143774,GUK1,1042,852,507
ENSG00000198835,GJC2,0,0,0
ENSG00000181873,IBA57,144,155,92
ENSG00000162913,C1orf145,3,4,2
ENSG00000154358,OBSCN,19,12,10
ENSG00000154370,TRIM11,66,40,131
ENSG00000162931,TRIM17,0,0,16
ENSG00000168148,HIST3H3,0,0,0
ENSG00000181218,HIST3H2A,0,0,1
ENSG00000196890,HIST3H2BB,12,8,17
ENSG00000168159,RNF187,216,170,208
ENSG00000116574,RHOU,133,119,195
ENSG00000177800,TMEM78,3,6,14
ENSG00000168118,RAB4A,318,243,112
ENSG00000213029,SPHAR,38,24,5
ENSG00000154429,CCSAP,44,23,36
ENSG00000143632,ACTA1,18,16,6
ENSG00000069248,NUP133,90,58,41
ENSG00000135776,ABCB10,72,54,71
ENSG00000135801,TAF5L,23,29,15
ENSG00000135763,URB2,25,21,12
ENSG00000143641,GALNT2,477,400,1102
ENSG00000177614,PGBD5,26,19,18
ENSG00000135775,COG2,36,40,48
ENSG00000135744,AGT,5551,4649,7226
ENSG00000135773,CAPN9,0,0,0
ENSG00000119280,C1orf198,24,15,34
ENSG00000143643,TTC13,42,49,30
ENSG00000173409,ARV1,41,29,24
ENSG00000182118,FAM89A,10,10,4
ENSG00000119283,TRIM67,0,0,0
ENSG00000143633,C1orf131,63,49,57
ENSG00000116906,GNPAT,175,127,192
ENSG00000116903,EXOC8,75,52,54
ENSG00000010072,SPRTN,34,28,11
ENSG00000135766,EGLN1,81,71,83
ENSG00000270106,TSNAX-DISC1,20,15,3
ENSG00000116918,TSNAX,137,105,160
ENSG00000162946,DISC1,6,4,0
ENSG00000116991,SIPA1L2,7,5,20
ENSG00000212916,MAP10,0,0,12
ENSG00000135778,NTPCR,142,138,168
ENSG00000135749,PCNX2,16,6,59
ENSG00000143674,MAP3K21,44,59,53
ENSG00000135750,KCNK1,18,21,110
ENSG00000183780,SLC35F3,0,3,0
ENSG00000168275,COA6,78,62,139
ENSG00000059588,TARBP1,27,15,59
ENSG00000168264,IRF2BP2,856,790,779
ENSG00000279261,AL360294.1,0,4,2
ENSG00000173726,TOMM20,411,329,201
ENSG00000188739,RBM34,83,57,161
ENSG00000054267,ARID4B,215,167,400
ENSG00000152904,GGPS1,83,58,109
ENSG00000116957,TBCE,74,33,45
ENSG00000162885,B3GALNT2,25,15,46
ENSG00000168243,GNG4,14,26,12
ENSG00000143669,LYST,169,146,87
ENSG00000116962,NID1,260,220,558
ENSG00000077585,GPR137B,44,40,49
ENSG00000086619,ERO1B,98,71,129
ENSG00000186197,EDARADD,9,8,18
ENSG00000116977,LGALS8,261,196,381
ENSG00000119285,HEATR1,135,102,194
ENSG00000077522,ACTN2,0,0,0
ENSG00000116984,MTR,135,117,82
ENSG00000244020,MT1HL1,11,9,0
ENSG00000198626,RYR2,0,0,0
ENSG00000116996,ZP4,0,0,0
ENSG00000270188,MTRNR2L11,30,49,8
ENSG00000133019,CHRM3,27,11,10
ENSG00000155816,FMN2,0,0,0
ENSG00000180875,GREM2,83,82,51
ENSG00000182901,RGS7,0,0,0
ENSG00000091483,FH,581,483,163
ENSG00000117009,KMO,289,284,178
ENSG00000054277,OPN3,123,109,133
ENSG00000203668,CHML,27,15,65
ENSG00000162843,WDR64,0,0,7
ENSG00000174371,EXO1,2,0,5
ENSG00000197769,MAP1LC3C,8,10,10
ENSG00000180287,PLD5,1,6,2
ENSG00000143702,CEP170,57,56,130
ENSG00000054282,SDCCAG8,91,71,95
ENSG00000117020,AKT3,68,56,54
ENSG00000179456,ZBTB18,61,37,79
ENSG00000035687,ADSS,24,28,70
ENSG00000179397,CATSPERE,2,2,5
ENSG00000121644,DESI2,52,42,18
ENSG00000203667,COX20,333,267,222
ENSG00000153187,HNRNPU,439,382,527
ENSG00000203666,EFCAB2,55,53,97
ENSG00000162849,KIF26B,0,2,0
ENSG00000185420,SMYD3,21,26,88
ENSG00000162851,TFB2M,40,31,16
ENSG00000162852,CNST,114,106,56
ENSG00000143653,SCCPDH,667,578,381
ENSG00000153207,AHCTF1,104,81,85
ENSG00000197472,ZNF695,3,3,1
ENSG00000135747,ZNF670-ZNF695,10,11,14
ENSG00000277462,ZNF670,1,5,0
ENSG00000188295,ZNF669,14,12,20
ENSG00000196418,ZNF124,15,10,21
ENSG00000162714,ZNF496,42,45,106
ENSG00000162711,NLRP3,3,0,2
ENSG00000169224,GCSAML,0,0,0
ENSG00000162722,TRIM58,26,19,32
ENSG00000196071,OR2L13,0,0,0
ENSG00000203663,OR2L2,0,0,0
ENSG00000171180,OR2M4,0,0,0
ENSG00000189181,OR14I1,0,0,5
ENSG00000259823,LYPD8,0,0,68
ENSG00000175137,SH3BP5L,32,26,49
ENSG00000171161,ZNF672,92,85,90
ENSG00000171163,ZNF692,153,129,75
ENSG00000185220,PGBD2,14,6,6
ENSG00000184731,FAM110C,69,58,65
ENSG00000035115,SH3YL1,74,43,6
ENSG00000143727,ACP1,327,262,160
ENSG00000189292,ALKAL2,7,8,0
ENSG00000151353,TMEM18,45,41,58
ENSG00000172554,SNTG2,0,3,2
ENSG00000115705,TPO,0,0,0
ENSG00000130508,PXDN,50,43,11
ENSG00000186487,MYT1L,20,23,29
ENSG00000032389,TSSC1,42,20,41
ENSG00000171853,TRAPPC12,82,65,131
ENSG00000182551,ADI1,3562,3138,970
ENSG00000255767,AC108488.2,12,13,8
ENSG00000171865,RNASEH1,32,49,42
ENSG00000171863,RPS7,870,749,890
ENSG00000118004,COLEC11,180,134,17
ENSG00000151360,ALLC,1,2,0
ENSG00000176887,SOX11,8,26,5
ENSG00000134326,CMPK2,18,9,13
ENSG00000134321,RSAD2,6,8,10
ENSG00000151692,RNF144A,11,5,17
ENSG00000115738,ID2,1916,1709,805
ENSG00000134313,KIDINS220,107,90,90
ENSG00000143797,MBOAT2,12,7,11
ENSG00000151693,ASAP2,35,24,12
ENSG00000119185,ITGB1BP1,83,77,68
