Ensembl,Disease_1,Disease_2,Disease_3
ENSG00000273274,67,54,83
ENSG00000160062,55,136,76
ENSG00000176261,83,55,79
ENSG00000162521,129,138,184
ENSG00000162520,42,51,72
ENSG00000162522,136,104,66
ENSG00000134684,185,175,89
ENSG00000116497,81,63,62
ENSG00000160097,241,214,0
ENSG00000121905,13,13,0
ENSG00000121900,72,44,6
ENSG00000116514,15,11,14
ENSG00000004455,657,511,278
ENSG00000142920,12,17,0
ENSG00000116525,1,0,1
ENSG00000160094,44,29,46
ENSG00000134686,246,180,171
ENSG00000121903,7,6,9
ENSG00000121904,7,2,11
ENSG00000142698,0,0,0
ENSG00000163866,348,296,114
ENSG00000189280,0,0,10
ENSG00000189433,0,0,0
ENSG00000188910,0,0,0
ENSG00000187513,4,7,5
ENSG00000116544,1,1,2
ENSG00000271741,123,123,131
ENSG00000243749,102,92,118
ENSG00000163867,71,68,43
ENSG00000197056,63,68,19
ENSG00000116560,330,281,191
ENSG00000146463,86,83,47
ENSG00000142687,354,285,122
ENSG00000020129,53,43,11
ENSG00000116819,0,0,0
ENSG00000126067,580,463,195
ENSG00000142686,98,83,17
ENSG00000092853,10,8,19
ENSG00000134698,29,28,21
ENSG00000092847,99,71,32
ENSG00000126070,180,161,174
ENSG00000092850,1,0,0
ENSG00000116863,53,46,45
ENSG00000171812,6,11,0
ENSG00000054116,239,211,92
ENSG00000116871,50,46,59
ENSG00000054118,394,349,216
ENSG00000214193,5,4,7
ENSG00000142694,24,16,5
ENSG00000196182,164,163,55
ENSG00000181817,175,131,73
ENSG00000116885,2,1,0
ENSG00000116898,390,312,127
ENSG00000119535,58,45,30
ENSG00000163873,0,0,0
ENSG00000163874,19,18,24
ENSG00000163875,74,68,61
ENSG00000163877,65,34,47
ENSG00000163879,42,35,21
ENSG00000134697,111,103,70
ENSG00000169218,0,0,0
ENSG00000116922,7,11,3
ENSG00000134690,17,11,4
ENSG00000183317,19,13,10
ENSG00000185090,9,9,9
ENSG00000196449,19,19,2
ENSG00000197982,191,168,40
ENSG00000188786,54,46,19
ENSG00000204084,85,83,65
ENSG00000183431,93,88,71
ENSG00000183386,6,6,19
ENSG00000183520,65,36,43
ENSG00000185668,0,0,0
ENSG00000116954,53,51,122
ENSG00000214114,63,55,68
ENSG00000274944,21,20,22
ENSG00000131233,7,6,18
ENSG00000158315,10,7,9
ENSG00000174574,144,143,85
ENSG00000168653,892,732,454
ENSG00000127603,637,532,255
ENSG00000183682,6,6,0
ENSG00000090621,140,106,116
ENSG00000163909,1,3,0
ENSG00000116983,0,0,0
ENSG00000084072,222,195,63
ENSG00000116985,21,13,4
ENSG00000198754,0,0,0
ENSG00000043514,12,9,10
ENSG00000116990,65,43,7
ENSG00000168389,2003,1620,17
ENSG00000131236,477,394,281
ENSG00000131238,97,99,70
ENSG00000117000,67,53,32
ENSG00000188800,0,1,4
ENSG00000084073,95,71,41
ENSG00000049089,4,2,2
ENSG00000084070,430,324,333
ENSG00000187801,27,28,0
ENSG00000187815,0,0,0
ENSG00000164002,27,23,18
ENSG00000117010,89,71,10
ENSG00000117016,0,0,1
ENSG00000066136,131,120,51
ENSG00000117013,2,0,0
ENSG00000179862,47,45,43
ENSG00000171793,134,120,15
ENSG00000171790,24,18,5
ENSG00000010803,122,103,43
ENSG00000204060,0,0,0
ENSG00000127129,0,0,0
ENSG00000127124,71,75,29
ENSG00000044012,32,39,0
ENSG00000197273,0,0,0
ENSG00000198815,146,125,32
ENSG00000177181,7,7,6
ENSG00000066185,20,18,0
ENSG00000127125,265,197,48
ENSG00000186409,78,52,93
ENSG00000171960,38,29,32
